Stream Trained,Job Role,Placement Number,Placement: Resource: Full Name,Operating Location Name,FDM Office,Start Date,End Date,Degree Classification,University of Study,Degree Subject
Testing,Testing,1229,First Name Surname 1229,Birmingham New Street,Leeds,09/11/2009,31/12/2015,2:2,University of Leicester,English
Development (.Net),Consulting,1230,First Name Surname 1230,Moorgate,London,01/06/2010,30/12/2015,2:1,University of Warwick,Geography and Environmental Sciences
Application Support,Consulting,1231,First Name Surname 1231,Moorgate,London,21/06/2010,31/12/2015,1,University of St Andrews,History
PMO,PMO,1232,First Name Surname 1232,Newcastle,London,26/07/2010,28/06/2016,2:2,University of Nottingham,Electrical and Electronic Engineering
Development (.Net),Consulting,1233,First Name Surname 1233,Moorgate,London,09/05/2011,08/05/2016,2:2,University of Glasgow,Business and Management Studies
Testing,Testing,1234,First Name Surname 1234,Leeds Centre,London,13/06/2011,29/03/2016,2:2,Cardiff University,Economics
Testing,Testing,1236,First Name Surname 1236,Birmingham New Street,Leeds,01/07/2011,31/12/2015,2:2,Open University,Electrical and Electronic Engineering
Testing,Testing,1235,First Name Surname 1235,Newcastle,London,11/07/2011,18/12/2015,2:2,University of Nottingham,History
Development (.Net),Consulting,1237,First Name Surname 1237,Leeds Centre,London,16/04/2012,31/12/2015,2:1,University of Warwick,Biological Sciences
Application Support,Consulting,1239,First Name Surname 1239,Moorgate,London,26/06/2012,30/12/2015,2:2,University of Salford,Economics
PMO,PMO,1238,First Name Surname 1238,Moorgate,London,09/07/2012,09/01/2016,2:2,University of Abertay,History
PMO,Consulting,1240,First Name Surname 1240,Leeds Centre,London,17/09/2012,31/12/2015,2:2,Swansea University,Politics
Testing,Testing,1,First Name Surname 1,Moorgate,London,25/10/2012,21/12/2015,2:2,London School of Economics and Politics,Accounting and Finance
Testing,Testing,2,First Name Surname 2,Birmingham New Street,London,19/11/2012,31/03/2016,2:1,University of Reading,Robotics
Testing,Testing,3,First Name Surname 3,Birmingham New Street,London,19/11/2012,31/03/2016,2:2,Newcastle University ,English
Testing,Testing,5,First Name Surname 5,Leeds Centre,London,07/01/2013,01/12/2015,1,University of Reading,English
MX.3 Support,Support,4,First Name Surname 4,Leeds Centre,London,07/01/2013,06/04/2016,2:1,University of Nottingham,Electrical and Electronic Engineering
PMO,PMO,6,First Name Surname 6,Leeds Centre,London,14/01/2013,31/12/2015,2:1,University of Warwick,Games Design
Development (C++),Consulting,7,First Name Surname 7,Leeds Centre,London,28/01/2013,31/12/2015,2:2,University of East Anglia,Computer Science
Testing,Testing,10,First Name Surname 10,Oxford Circus,London,13/02/2013,04/03/2016,3,University of Manchester,Civil Engineering
PMO,PMO,9,First Name Surname 9,Leeds Centre,London,18/02/2013,31/01/2016,2:1,London Metropolitan University,Forensic Computing
PMO,Support,8,First Name Surname 8,Oxford Circus,London,18/02/2013,31/03/2016,2:1,De Montfort University,Mechanical Engineering
PMO,PMO,12,First Name Surname 12,Moorgate,London,04/03/2013,31/03/2016,3,University of Huddersfield,Mathematics
PMO,PMO,11,First Name Surname 11,Moorgate,London,04/03/2013,01/04/2016,2:1,Swansea University,Business and Management Studies
Development (Java),Consulting,16,First Name Surname 16,Newcastle,London,06/03/2013,30/04/2016,2:2,Open University,Economics
